All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                  | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:-----------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| X-GENRE classifier     | x-ginco        |      0.847 |      0.845 |          |                 |
| gpt-4o-2024-08-06      | x-ginco        |      0.776 |      0.769 |          |                 |
| gpt-4o-mini-2024-07-18 | x-ginco        |      0.688 |      0.67  |          |                 |
| gpt-3.5-turbo-0125     | x-ginco        |      0.627 |      0.622 |          |                 |
| LOGISTICREGRESSION     | x-ginco        |      0.174 |      0.185 |          |                 |
| SVC                    | x-ginco        |      0.166 |      0.184 |          |                 |
| fastText               | x-ginco        |      0.156 |      0.179 |          |                 |
| COMPLEMENTNB           | x-ginco        |      0.143 |      0.171 |          |                 |
| dummy-stratified       | x-ginco        |      0.106 |      0.113 |          |                 |
| dummy-most_frequent    | x-ginco        |      0.029 |      0.133 |          |                 |

------------------------------------------

New benchmark scores:

| Model                  | Test Dataset   |   Macro F1 |   Micro F1 | Epochs   | Learning Rate   |
|:-----------------------|:---------------|-----------:|-----------:|:---------|:----------------|
| X-GENRE classifier     | en-ginco       |      0.687 |      0.684 |          |                 |
| gpt-4o-2024-08-06      | en-ginco       |      0.62  |      0.735 |          |                 |
| gpt-4o-mini-2024-07-18 | en-ginco       |      0.534 |      0.632 |          |                 |
| SVC                    | en-ginco       |      0.514 |      0.489 |          |                 |
| gpt-3.5-turbo-0125     | en-ginco       |      0.494 |      0.625 |          |                 |
| LOGISTICREGRESSION     | en-ginco       |      0.464 |      0.471 |          |                 |
| fastText               | en-ginco       |      0.408 |      0.445 |          |                 |
| COMPLEMENTNB           | en-ginco       |      0.289 |      0.36  |          |                 |
| dummy-stratified       | en-ginco       |      0.088 |      0.154 |          |                 |
| dummy-most_frequent    | en-ginco       |      0.032 |      0.169 |          |                 |

------------------------------------------

| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
| dummy-most_frequent    | x-ginco        | Croatian   |      0.025 |      0.112 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | en-ginco       | English    |      0.687 |      0.684 |
| gpt-4o-2024-08-06      | en-ginco       | English    |      0.62  |      0.735 |
| gpt-4o-mini-2024-07-18 | en-ginco       | English    |      0.534 |      0.632 |
| SVC                    | en-ginco       | English    |      0.514 |      0.489 |
| gpt-3.5-turbo-0125     | en-ginco       | English    |      0.494 |      0.625 |
| LOGISTICREGRESSION     | en-ginco       | English    |      0.464 |      0.471 |
| fastText               | en-ginco       | English    |      0.408 |      0.445 |
| COMPLEMENTNB           | en-ginco       | English    |      0.289 |      0.36  |
| dummy-stratified       | en-ginco       | English    |      0.088 |      0.154 |
| dummy-most_frequent    | en-ginco       | English    |      0.032 |      0.169 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Greek      |      0.783 |      0.8   |
| gpt-4o-mini-2024-07-18 | x-ginco        | Greek      |      0.74  |      0.762 |
| gpt-4o-2024-08-06      | x-ginco        | Greek      |      0.739 |      0.762 |
| gpt-3.5-turbo-0125     | x-ginco        | Greek      |      0.629 |      0.637 |
| LOGISTICREGRESSION     | x-ginco        | Greek      |      0.223 |      0.238 |
| SVC                    | x-ginco        | Greek      |      0.159 |      0.175 |
| dummy-stratified       | x-ginco        | Greek      |      0.112 |      0.114 |
| fastText               | x-ginco        | Greek      |      0.095 |      0.138 |
| COMPLEMENTNB           | x-ginco        | Greek      |      0.093 |      0.138 |
| dummy-most_frequent    | x-ginco        | Greek      |      0.028 |      0.125 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| gpt-4o-2024-08-06      | x-ginco        | Icelandic  |      0.795 |      0.8   |
| X-GENRE classifier     | x-ginco        | Icelandic  |      0.775 |      0.78  |
| gpt-3.5-turbo-0125     | x-ginco        | Icelandic  |      0.58  |      0.584 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Icelandic  |      0.541 |      0.512 |
| dummy-stratified       | x-ginco        | Icelandic  |      0.145 |      0.167 |
| LOGISTICREGRESSION     | x-ginco        | Icelandic  |      0.075 |      0.113 |
| SVC                    | x-ginco        | Icelandic  |      0.073 |      0.138 |
| COMPLEMENTNB           | x-ginco        | Icelandic  |      0.059 |      0.169 |
| fastText               | x-ginco        | Icelandic  |      0.052 |      0.105 |
| dummy-most_frequent    | x-ginco        | Icelandic  |      0.033 |      0.15  |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Macedonian |      0.911 |      0.912 |
| gpt-4o-2024-08-06      | x-ginco        | Macedonian |      0.722 |      0.738 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Macedonian |      0.615 |      0.6   |
| gpt-3.5-turbo-0125     | x-ginco        | Macedonian |      0.594 |      0.615 |
| COMPLEMENTNB           | x-ginco        | Macedonian |      0.144 |      0.164 |
| LOGISTICREGRESSION     | x-ginco        | Macedonian |      0.099 |      0.125 |
| fastText               | x-ginco        | Macedonian |      0.094 |      0.15  |
| SVC                    | x-ginco        | Macedonian |      0.067 |      0.138 |
| dummy-stratified       | x-ginco        | Macedonian |      0.065 |      0.065 |
| dummy-most_frequent    | x-ginco        | Macedonian |      0.033 |      0.15  |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| gpt-4o-2024-08-06      | x-ginco        | Maltese    |      0.545 |      0.786 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Maltese    |      0.527 |      0.791 |
| X-GENRE classifier     | x-ginco        | Maltese    |      0.509 |      0.574 |
| gpt-3.5-turbo-0125     | x-ginco        | Maltese    |      0.379 |      0.522 |
| fastText               | x-ginco        | Maltese    |      0.101 |      0.177 |
| dummy-stratified       | x-ginco        | Maltese    |      0.1   |      0.132 |
| COMPLEMENTNB           | x-ginco        | Maltese    |      0.092 |      0.1   |
| SVC                    | x-ginco        | Maltese    |      0.075 |      0.2   |
| LOGISTICREGRESSION     | x-ginco        | Maltese    |      0.073 |      0.071 |
| dummy-most_frequent    | x-ginco        | Maltese    |      0.053 |      0.229 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Slovenian  |      0.936 |      0.938 |
| gpt-4o-2024-08-06      | x-ginco        | Slovenian  |      0.695 |      0.7   |
| gpt-4o-mini-2024-07-18 | x-ginco        | Slovenian  |      0.67  |      0.662 |
| gpt-3.5-turbo-0125     | x-ginco        | Slovenian  |      0.642 |      0.646 |
| LOGISTICREGRESSION     | x-ginco        | Slovenian  |      0.563 |      0.561 |
| SVC                    | x-ginco        | Slovenian  |      0.483 |      0.494 |
| fastText               | x-ginco        | Slovenian  |      0.422 |      0.436 |
| COMPLEMENTNB           | x-ginco        | Slovenian  |      0.214 |      0.3   |
| dummy-stratified       | x-ginco        | Slovenian  |      0.128 |      0.143 |
| dummy-most_frequent    | x-ginco        | Slovenian  |      0.028 |      0.125 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Turkish    |      0.916 |      0.917 |
| gpt-4o-2024-08-06      | x-ginco        | Turkish    |      0.815 |      0.812 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Turkish    |      0.729 |      0.712 |
| gpt-3.5-turbo-0125     | x-ginco        | Turkish    |      0.683 |      0.697 |
| dummy-stratified       | x-ginco        | Turkish    |      0.129 |      0.14  |
| LOGISTICREGRESSION     | x-ginco        | Turkish    |      0.096 |      0.125 |
| COMPLEMENTNB           | x-ginco        | Turkish    |      0.094 |      0.126 |
| SVC                    | x-ginco        | Turkish    |      0.093 |      0.138 |
| fastText               | x-ginco        | Turkish    |      0.092 |      0.126 |
| dummy-most_frequent    | x-ginco        | Turkish    |      0.03  |      0.138 |
| Model                  | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-----------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier     | x-ginco        | Ukrainian  |      0.945 |      0.949 |
| gpt-4o-2024-08-06      | x-ginco        | Ukrainian  |      0.782 |      0.775 |
| gpt-4o-mini-2024-07-18 | x-ginco        | Ukrainian  |      0.663 |      0.65  |
| gpt-3.5-turbo-0125     | x-ginco        | Ukrainian  |      0.589 |      0.6   |
| LOGISTICREGRESSION     | x-ginco        | Ukrainian  |      0.121 |      0.162 |
| fastText               | x-ginco        | Ukrainian  |      0.117 |      0.184 |
| COMPLEMENTNB           | x-ginco        | Ukrainian  |      0.08  |      0.125 |
| SVC                    | x-ginco        | Ukrainian  |      0.058 |      0.112 |
| dummy-stratified       | x-ginco        | Ukrainian  |      0.056 |      0.064 |
| dummy-most_frequent    | x-ginco        | Ukrainian  |      0.028 |      0.125 |
