en-ginco
Removing 'Other' instances
Dataset shape:
(258, 5)
All evaluations completed. The results are added to the `results/results.json` file.
New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        |      0.848 |      0.845 |
| CORE register classifier                                                                                           | x-ginco        |      0.651 |      0.652 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        |      0.174 |      0.185 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        |      0.17  |      0.189 |
| SVC                                                                                                                | x-ginco        |      0.166 |      0.184 |
| fastText                                                                                                           | x-ginco        |      0.156 |      0.179 |
| COMPLEMENTNB                                                                                                       | x-ginco        |      0.143 |      0.171 |
| dummy-stratified                                                                                                   | x-ginco        |      0.106 |      0.113 |
| dummy-most_frequent                                                                                                | x-ginco        |      0.029 |      0.133 |

------------------------------------------

New benchmark scores:

| Model                                                                                                              | Test Dataset   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | en-ginco       |      0.752 |      0.71  |
| CORE register classifier                                                                                           | en-ginco       |      0.593 |      0.613 |
| SVC                                                                                                                | en-ginco       |      0.572 |      0.512 |
| LOGISTICREGRESSION                                                                                                 | en-ginco       |      0.509 |      0.494 |
| fastText                                                                                                           | en-ginco       |      0.459 |      0.474 |
| COMPLEMENTNB                                                                                                       | en-ginco       |      0.336 |      0.38  |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | en-ginco       |      0.16  |      0.231 |
| dummy-stratified                                                                                                   | en-ginco       |      0.102 |      0.166 |
| dummy-most_frequent                                                                                                | en-ginco       |      0.038 |      0.178 |

------------------------------------------

| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
| fastText                                                                                                           | x-ginco        | Croatian   |      0.169 |      0.266 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Croatian   |      0.139 |      0.214 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Croatian   |      0.119 |      0.169 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Croatian   |      0.117 |      0.155 |
| dummy-stratified                                                                                                   | x-ginco        | Croatian   |      0.055 |      0.064 |
| dummy-most_frequent                                                                                                | x-ginco        | Croatian   |      0.025 |      0.112 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | en-ginco       | English    |      0.752 |      0.71  |
| CORE register classifier                                                                                           | en-ginco       | English    |      0.593 |      0.613 |
| SVC                                                                                                                | en-ginco       | English    |      0.572 |      0.512 |
| LOGISTICREGRESSION                                                                                                 | en-ginco       | English    |      0.509 |      0.494 |
| fastText                                                                                                           | en-ginco       | English    |      0.459 |      0.474 |
| COMPLEMENTNB                                                                                                       | en-ginco       | English    |      0.336 |      0.38  |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | en-ginco       | English    |      0.16  |      0.231 |
| dummy-stratified                                                                                                   | en-ginco       | English    |      0.102 |      0.166 |
| dummy-most_frequent                                                                                                | en-ginco       | English    |      0.038 |      0.178 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Greek      |      0.802 |      0.818 |
| CORE register classifier                                                                                           | x-ginco        | Greek      |      0.716 |      0.718 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Greek      |      0.223 |      0.238 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Greek      |      0.196 |      0.2   |
| SVC                                                                                                                | x-ginco        | Greek      |      0.159 |      0.175 |
| dummy-stratified                                                                                                   | x-ginco        | Greek      |      0.112 |      0.114 |
| fastText                                                                                                           | x-ginco        | Greek      |      0.095 |      0.138 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Greek      |      0.093 |      0.138 |
| dummy-most_frequent                                                                                                | x-ginco        | Greek      |      0.028 |      0.125 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Icelandic  |      0.775 |      0.78  |
| CORE register classifier                                                                                           | x-ginco        | Icelandic  |      0.556 |      0.584 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Icelandic  |      0.171 |      0.201 |
| dummy-stratified                                                                                                   | x-ginco        | Icelandic  |      0.145 |      0.167 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Icelandic  |      0.075 |      0.113 |
| SVC                                                                                                                | x-ginco        | Icelandic  |      0.073 |      0.138 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Icelandic  |      0.059 |      0.169 |
| fastText                                                                                                           | x-ginco        | Icelandic  |      0.052 |      0.105 |
| dummy-most_frequent                                                                                                | x-ginco        | Icelandic  |      0.033 |      0.15  |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Macedonian |      0.911 |      0.912 |
| CORE register classifier                                                                                           | x-ginco        | Macedonian |      0.637 |      0.675 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Macedonian |      0.196 |      0.213 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Macedonian |      0.144 |      0.164 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Macedonian |      0.099 |      0.125 |
| fastText                                                                                                           | x-ginco        | Macedonian |      0.094 |      0.15  |
| SVC                                                                                                                | x-ginco        | Macedonian |      0.067 |      0.138 |
| dummy-stratified                                                                                                   | x-ginco        | Macedonian |      0.065 |      0.065 |
| dummy-most_frequent                                                                                                | x-ginco        | Macedonian |      0.033 |      0.15  |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Maltese    |      0.51  |      0.58  |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Maltese    |      0.166 |      0.25  |
| fastText                                                                                                           | x-ginco        | Maltese    |      0.101 |      0.177 |
| dummy-stratified                                                                                                   | x-ginco        | Maltese    |      0.1   |      0.132 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Maltese    |      0.092 |      0.1   |
| SVC                                                                                                                | x-ginco        | Maltese    |      0.075 |      0.2   |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Maltese    |      0.073 |      0.071 |
| dummy-most_frequent                                                                                                | x-ginco        | Maltese    |      0.053 |      0.229 |
| CORE register classifier                                                                                           | x-ginco        | Maltese    |      0     |      0     |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Slovenian  |      0.936 |      0.938 |
| CORE register classifier                                                                                           | x-ginco        | Slovenian  |      0.679 |      0.684 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Slovenian  |      0.563 |      0.561 |
| SVC                                                                                                                | x-ginco        | Slovenian  |      0.483 |      0.494 |
| fastText                                                                                                           | x-ginco        | Slovenian  |      0.422 |      0.436 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Slovenian  |      0.214 |      0.3   |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Slovenian  |      0.131 |      0.157 |
| dummy-stratified                                                                                                   | x-ginco        | Slovenian  |      0.128 |      0.143 |
| dummy-most_frequent                                                                                                | x-ginco        | Slovenian  |      0.028 |      0.125 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Turkish    |      0.911 |      0.912 |
| CORE register classifier                                                                                           | x-ginco        | Turkish    |      0.71  |      0.721 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Turkish    |      0.164 |      0.203 |
| dummy-stratified                                                                                                   | x-ginco        | Turkish    |      0.129 |      0.14  |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Turkish    |      0.096 |      0.125 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Turkish    |      0.094 |      0.126 |
| SVC                                                                                                                | x-ginco        | Turkish    |      0.093 |      0.138 |
| fastText                                                                                                           | x-ginco        | Turkish    |      0.092 |      0.126 |
| dummy-most_frequent                                                                                                | x-ginco        | Turkish    |      0.03  |      0.138 |
| Model                                                                                                              | Test Dataset   | Language   |   Macro F1 |   Micro F1 |
|:-------------------------------------------------------------------------------------------------------------------|:---------------|:-----------|-----------:|-----------:|
| X-GENRE classifier                                                                                                 | x-ginco        | Ukrainian  |      0.933 |      0.938 |
| CORE register classifier                                                                                           | x-ginco        | Ukrainian  |      0.769 |      0.784 |
| LOGISTICREGRESSION                                                                                                 | x-ginco        | Ukrainian  |      0.121 |      0.162 |
| fastText                                                                                                           | x-ginco        | Ukrainian  |      0.117 |      0.184 |
| COMPLEMENTNB                                                                                                       | x-ginco        | Ukrainian  |      0.08  |      0.125 |
| NLI zero-shot model ([mDeBERTa-v3-base-mnli-xnli](https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli)) | x-ginco        | Ukrainian  |      0.066 |      0.101 |
| SVC                                                                                                                | x-ginco        | Ukrainian  |      0.058 |      0.112 |
| dummy-stratified                                                                                                   | x-ginco        | Ukrainian  |      0.056 |      0.064 |
| dummy-most_frequent                                                                                                | x-ginco        | Ukrainian  |      0.028 |      0.125 |
